example_id                                                  | status | run_time        |
./spec/kramdown_test_suite_spec.rb[1:77]                    | passed | 0.00466 seconds |
./spec/kramdown_test_suite_spec.rb[1:78]                    | passed | 0.00318 seconds |
./spec/kramdown_test_suite_spec.rb[1:79]                    | passed | 0.00571 seconds |
./spec/kramdown_test_suite_spec.rb[1:80]                    | passed | 0.00346 seconds |
./spec/kramdown_test_suite_spec.rb[1:81]                    | passed | 0.00453 seconds |
./spec/kramdown_test_suite_spec.rb[1:82]                    | passed | 0.00245 seconds |
./spec/kramdown_test_suite_spec.rb[1:83]                    | passed | 0.00395 seconds |
./spec/kramdown_test_suite_spec.rb[1:84]                    | passed | 0.00362 seconds |
./spec/kramdown_test_suite_spec.rb[1:85]                    | passed | 0.0064 seconds  |
./spec/kramdown_test_suite_spec.rb[1:86]                    | passed | 0.00785 seconds |
./spec/kramdown_test_suite_spec.rb[1:87]                    | passed | 0.00315 seconds |
./spec/kramdown_test_suite_spec.rb[1:88]                    | passed | 0.00594 seconds |
./spec/kramdown_test_suite_spec.rb[1:89]                    | passed | 0.02268 seconds |
./spec/kramdown_test_suite_spec.rb[1:90]                    | passed | 0.00237 seconds |
./spec/kramdown_test_suite_spec.rb[1:91]                    | passed | 0.0029 seconds  |
./spec/kramdown_test_suite_spec.rb[1:92]                    | passed | 0.00259 seconds |
./spec/kramdown_test_suite_spec.rb[1:93]                    | passed | 0.01238 seconds |
./spec/kramdown_test_suite_spec.rb[1:94]                    | passed | 0.00783 seconds |
./spec/kramdown_test_suite_spec.rb[1:95]                    | passed | 0.01393 seconds |
./spec/kramdown_test_suite_spec.rb[1:96]                    | passed | 0.00488 seconds |
./spec/kramdown_test_suite_spec.rb[1:97]                    | passed | 0.00647 seconds |
./spec/kramdown_test_suite_spec.rb[1:98]                    | passed | 0.00479 seconds |
./spec/kramdown_test_suite_spec.rb[1:99]                    | passed | 0.0174 seconds  |
./spec/kramdown_test_suite_spec.rb[1:100]                   | passed | 0.00489 seconds |
./spec/kramdown_test_suite_spec.rb[1:101]                   | passed | 0.00343 seconds |
./spec/kramdown_test_suite_spec.rb[1:102]                   | passed | 0.00419 seconds |
./spec/kramdown_test_suite_spec.rb[1:103]                   | passed | 0.00431 seconds |
./spec/kramdown_test_suite_spec.rb[1:104]                   | passed | 0.00631 seconds |
./spec/kramdown_test_suite_spec.rb[1:105]                   | passed | 0.00224 seconds |
./spec/kramdown_test_suite_spec.rb[1:106]                   | passed | 0.00611 seconds |
./spec/kramdown_test_suite_spec.rb[1:107]                   | passed | 0.01452 seconds |
./spec/kramdown_test_suite_spec.rb[1:108]                   | passed | 0.00676 seconds |
./spec/kramdown_test_suite_spec.rb[1:109]                   | passed | 0.00514 seconds |
./spec/kramdown_test_suite_spec.rb[1:110]                   | passed | 0.00895 seconds |
./spec/kramdown_test_suite_spec.rb[1:111]                   | passed | 0.00787 seconds |
./spec/kramdown_test_suite_spec.rb[1:112]                   | passed | 0.00371 seconds |
./spec/kramdown_test_suite_spec.rb[1:113]                   | passed | 0.00331 seconds |
./spec/kramdown_test_suite_spec.rb[1:114]                   | passed | 0.00424 seconds |
./spec/kramdown_test_suite_spec.rb[1:115]                   | passed | 0.00167 seconds |
./spec/kramdown_test_suite_spec.rb[1:116]                   | passed | 0.00266 seconds |
./spec/kramdown_test_suite_spec.rb[1:117]                   | passed | 0.00428 seconds |
./spec/kramdown_test_suite_spec.rb[1:118]                   | passed | 0.00354 seconds |
./spec/kramdown_test_suite_spec.rb[1:119]                   | passed | 0.0022 seconds  |
./spec/kramdown_test_suite_spec.rb[1:120]                   | passed | 0.00307 seconds |
./spec/kramdown_test_suite_spec.rb[1:121]                   | passed | 0.00224 seconds |
./spec/kramdown_test_suite_spec.rb[1:122]                   | passed | 0.00368 seconds |
./spec/kramdown_test_suite_spec.rb[1:123]                   | passed | 0.00221 seconds |
./spec/kramdown_test_suite_spec.rb[1:124]                   | passed | 0.0022 seconds  |
./spec/kramdown_test_suite_spec.rb[1:125]                   | passed | 0.00573 seconds |
./spec/kramdown_test_suite_spec.rb[1:126]                   | passed | 0.00272 seconds |
./spec/kramdown_test_suite_spec.rb[1:127]                   | passed | 0.00498 seconds |
./spec/kramdown_test_suite_spec.rb[1:128]                   | passed | 0.00903 seconds |
./spec/kramdown_test_suite_spec.rb[1:129]                   | passed | 0.0092 seconds  |
./spec/kramdown_test_suite_spec.rb[1:130]                   | passed | 0.01445 seconds |
./spec/kramdown_test_suite_spec.rb[1:131]                   | passed | 0.0026 seconds  |
./spec/kramdown_test_suite_spec.rb[1:132]                   | passed | 0.0215 seconds  |
./spec/kramdown_test_suite_spec.rb[1:133]                   | passed | 0.00302 seconds |
./spec/kramdown_test_suite_spec.rb[1:134]                   | passed | 0.0024 seconds  |
./spec/kramdown_test_suite_spec.rb[1:135]                   | passed | 0.00265 seconds |
./spec/kramdown_test_suite_spec.rb[1:136]                   | passed | 0.01122 seconds |
./spec/kramdown_test_suite_spec.rb[1:137]                   | passed | 0.00472 seconds |
./spec/kramdown_test_suite_spec.rb[1:138]                   | passed | 0.0063 seconds  |
./spec/kramdown_test_suite_spec.rb[1:139]                   | passed | 0.00574 seconds |
./spec/kramdown_test_suite_spec.rb[1:140]                   | passed | 0.00343 seconds |
./spec/kramdown_test_suite_spec.rb[1:141]                   | passed | 0.00378 seconds |
./spec/kramdown_test_suite_spec.rb[1:142]                   | passed | 0.0051 seconds  |
./spec/kramdown_test_suite_spec.rb[1:143]                   | passed | 0.01239 seconds |
./spec/kramdown_test_suite_spec.rb[1:144]                   | passed | 0.00334 seconds |
./spec/kramdown_test_suite_spec.rb[1:145]                   | passed | 0.00412 seconds |
./spec/kramdown_test_suite_spec.rb[1:146]                   | passed | 0.00498 seconds |
./spec/kramdown_test_suite_spec.rb[1:147]                   | passed | 0.01017 seconds |
./spec/kramdown_test_suite_spec.rb[1:148]                   | passed | 0.02384 seconds |
./spec/kramdown_test_suite_spec.rb[1:149]                   | passed | 0.00367 seconds |
./spec/kramdown_test_suite_spec.rb[1:150]                   | passed | 0.01245 seconds |
./spec/kramdown_test_suite_spec.rb[1:151]                   | passed | 0.00898 seconds |
./spec/kramdown_test_suite_spec.rb[1:152]                   | passed | 0.00328 seconds |
./spec/kramdown_test_suite_spec.rb[1:153]                   | passed | 0.02157 seconds |
./spec/kramdown_test_suite_spec.rb[1:154]                   | passed | 0.00228 seconds |
./spec/kramdown_test_suite_spec.rb[1:155]                   | passed | 0.00477 seconds |
./spec/kramdown_test_suite_spec.rb[1:156]                   | passed | 0.00992 seconds |
./spec/kramdown_test_suite_spec.rb[1:157]                   | passed | 0.03387 seconds |
./spec/kramdown_test_suite_spec.rb[1:158]                   | passed | 0.00313 seconds |
./spec/kramdown_test_suite_spec.rb[1:159]                   | passed | 0.00214 seconds |
./spec/kramdown_test_suite_spec.rb[1:160]                   | passed | 0.0025 seconds  |
./spec/kramdown_test_suite_spec.rb[1:161]                   | passed | 0.00244 seconds |
./spec/kramdown_test_suite_spec.rb[1:162]                   | passed | 0.00225 seconds |
./spec/kramdown_test_suite_spec.rb[1:163]                   | passed | 0.0088 seconds  |
./spec/kramdown_test_suite_spec.rb[1:164]                   | passed | 0.00453 seconds |
./spec/kramdown_test_suite_spec.rb[1:165]                   | passed | 0.00273 seconds |
./spec/kramdown_test_suite_spec.rb[1:166]                   | passed | 0.01355 seconds |
./spec/kramdown_test_suite_spec.rb[1:167]                   | passed | 0.00451 seconds |
./spec/kramdown_test_suite_spec.rb[1:168]                   | passed | 0.00872 seconds |
./spec/kramdown_test_suite_spec.rb[1:169]                   | passed | 0.00332 seconds |
./spec/kramdown_test_suite_spec.rb[1:170]                   | passed | 0.00329 seconds |
./spec/kramdown_test_suite_spec.rb[1:171]                   | passed | 0.00408 seconds |
./spec/kramdown_test_suite_spec.rb[1:172]                   | passed | 0.00594 seconds |
./spec/kramdown_test_suite_spec.rb[1:173]                   | passed | 0.00995 seconds |
./spec/kramdown_test_suite_spec.rb[1:174]                   | passed | 0.004 seconds   |
./spec/kramdown_test_suite_spec.rb[1:175]                   | passed | 0.0046 seconds  |
./spec/kramdown_test_suite_spec.rb[1:176]                   | passed | 0.0029 seconds  |
./spec/kramdown_test_suite_spec.rb[1:177]                   | passed | 0.00238 seconds |
./spec/kramdown_test_suite_spec.rb[1:178]                   | passed | 0.00517 seconds |
